[APP] [23.06.2026 | 22:51:49] Connecting to database localhost:3306
[APP] [23.06.2026 | 22:52:04] Yes sent new application Cartrigge change number 8
[APP] [23.06.2026 | 22:52:04] Mail successfully sent
[APP] [23.06.2026 | 22:52:05] Culdn't sent email Error: Invalid login: 535 5.7.0 (#AUTH005) Too many bad auth attempts.
[APP] [23.06.2026 | 22:52:08] Notification read 
[APP] [23.06.2026 | 22:52:45] User auth successfully
[APP] [23.06.2026 | 22:53:37] Connecting to database localhost:3306
[APP] [23.06.2026 | 22:53:45] User auth successfully
[APP] [23.06.2026 | 22:53:51] Ticket removed successfully
[APP] [23.06.2026 | 22:53:52] Ticket removed successfully
[APP] [1.07.2026 | 23:07:04] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:07:58] User auth successfully
[APP] [1.07.2026 | 23:08:00] User logout
[APP] [1.07.2026 | 23:08:24] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:08:29] User auth successfully
[APP] [1.07.2026 | 23:010:07] User logout
[APP] [1.07.2026 | 23:010:11] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:010:50] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:11:57] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:12:24] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:12:39] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:14:39] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:17:00] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:17:52] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:18:06] User auth successfully
[APP] [1.07.2026 | 23:24:44] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:25:39] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:25:48] User auth successfully
[APP] [1.07.2026 | 23:26:22] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:27:47] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:29:34] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:31:21] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:31:57] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:34:11] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:34:52] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:35:34] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:36:57] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:37:16] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:37:53] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:37:59] User auth successfully
[APP] [1.07.2026 | 23:41:010] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:41:21] User registered successfully
[APP] [1.07.2026 | 23:42:24] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:43:12] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:43:57] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:44:04] User auth successfully
[APP] [1.07.2026 | 23:45:16] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:45:20] User auth successfully
[APP] [1.07.2026 | 23:52:16] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:53:25] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:54:19] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:56:32] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:56:54] Connecting to database localhost:3306
[APP] [1.07.2026 | 23:57:03] User auth successfully
[APP] [1.07.2026 | 23:57:25] One sent new application Peoblems with internet number 9
[APP] [1.07.2026 | 23:57:25] Mail successfully sent
[APP] [1.07.2026 | 23:57:25] Couldn't sent email Error: getaddrinfo ENOTFOUND SMTP.YOURDHOSY.COM
[APP] [1.07.2026 | 23:57:29] Notification read 
[APP] [2.07.2026 | 00:01:14] Connecting to database localhost:3306
[APP] [2.07.2026 | 00:01:35] Connecting to database localhost:3306
[APP] [2.07.2026 | 00:01:41] User auth successfully
[APP] [2.07.2026 | 00:05:48] Connecting to database localhost:3306
[APP] [2.07.2026 | 00:05:57] User auth successfully
[APP] [2.07.2026 | 00:06:35] Connecting to database localhost:3306
[APP] [2.07.2026 | 00:06:41] User auth successfully
[APP] [2.07.2026 | 08:39:25] Connecting to database localhost:3306
[APP] [2.07.2026 | 08:39:36] User auth successfully
[APP] [2.07.2026 | 08:40:56] Connecting to database localhost:3306
[APP] [2.07.2026 | 08:41:05] User auth successfully
[APP] [2.07.2026 | 08:42:43] Connecting to database localhost:3306
[APP] [2.07.2026 | 08:43:15] Connecting to database localhost:3306
[APP] [2.07.2026 | 08:43:27] Connecting to database localhost:3306
